	Localidad	NDVI	Altura	Cobertura	Cobertura prom 250	Cobertura sd 250	Altura prom 250	Altura sd 250	NDVI prom 250	NDVI sd 250
22	OrobajoP2	0.471688598	310	49	35.51851852	31.59613797	305.9545455	13.018219	0.42656359	0.102282513
23	OrobajoP3	0.503877521	329	100	73.98854962	24.01268548	344.75	23.23462559	0.487137272	0.041789013
24	OrobajoP4	0.490277201	406	89	67.86872587	29.10802765	445.9565217	45.03885016	0.461022921	0.073309626
25	OrobajoP5	0.497456014	460	69	66.05384615	29.14967672	486.5	43.05002146	0.514550021	0.055517423
26	PescaderoP1	0.560664475	505	97	91.54789272	7.456708735	490.6666667	38.7877913	0.531533314	0.041112657
27	PescaderoP2	0.580780685	487	100	79.02671756	20.44362522	460.2916667	61.8845202	0.463820394	0.051278268
28	PescaderoP3	0.57709378	451	48	80.95801527	11.69905818	460.5	47.59978078	0.484952254	0.027197423
29	PescaderoP4	0.493954688	543	20	80.62452107	9.044591045	540.9090909	54.37953842	0.519486832	0.043991681
30	PescaderoP5	0.574136317	504	99	86.48828125	8.519404574	534.6363636	58.42255391	0.516657909	0.028345853
31	SanJuanP1	0.53968519	1280	95	34.60536398	28.6740537	1289.181818	52.17063246	0.403993081	0.067580642
32	SanJuanP2	0.365128309	1213	27	63.04961832	16.77623238	1198.285714	28.6847396	0.426869657	0.037414349
33	SanJuanP3	0.470824391	1205	62	62.56756757	23.74505804	1192.857143	38.46334062	0.434232595	0.060886234
34	SanJuanP4	0.487024099	1196	75	63.90494297	27.07895042	1189.625	42.22487676	0.427009792	0.053820109
35	SanJuanP5	0.556071997	1185	82	68.11583012	23.72978741	1190.636364	36.94467608	0.473381006	0.042067137
36	SantaFeP1	0.431385607	543	44	54.05426357	34.42542497	537.2916667	12.05595349	0.388471702	0.158118015
37	SantaFeP2	0.406864107	501	52	66.48473282	31.19174656	495.1363636	12.27965974	0.485855965	0.100555077
38	SantaFeP3	0.454506606	496	91	62.10852713	29.95203437	485.0909091	7.043464319	0.550418404	0.051531977
39	SantaFeP4	0.411118597	514	33	31.15969582	22.65567795	508.25	12.89506141	0.506049326	0.049013538
40	SantaFeP5	0.47144261	566	48	53.43076923	30.85623369	562.5	19.15610925	0.471765915	0.064876518
41	TicuitaP1	0.464413702	406	100	79.43846154	38.39401575	427.9166667	64.78722141	0.506719719	0.084400307
42	TicuitaP2	0.500724375	518	97	74.54789272	41.27919253	522.3913043	58.32724229	0.41544562	0.184662093
43	TicuitaP3	0.537665427	643	100	97.16917293	3.956073534	624.5	88.1406978	0.54369591	0.030114082
44	TicuitaP4	0.54862529	851	97	95.42748092	5.909315374	848.7916667	68.55145904	0.525775589	0.05112672
45	TicuitaP5	0.537460804	862	89	88.42748092	26.66236475	845.1304348	56.19794913	0.520456489	0.036126507
46	ValdiviaP1	0.575175405	278	95	62.62445415	40.95834978	259.6666667	78.89490349	0.536923559	0.069690216
47	ValdiviaP2	0.572450399	254	78	54.7991453	39.53439095	268.4583333	85.51937445	0.518340073	0.056928442
48	ValdiviaP3	0.549740374	274	100	72.6023166	39.49153764	295.16	78.52424254	0.517923888	0.051054772
49	ValdiviaP4	0.517029881	370	97	53.51737452	42.22827738	368.7391304	72.05504045	0.533530205	0.039844227
50	ValdiviaP5	0.592625022	386	48	45.97358491	37.76486337	372.9583333	72.04254731	0.501727094	0.054135795
